action,entropy_reduction,accuracy_delta,confidence_delta,flip_rate
center_zoom,-0.01576596312224865,-0.008952794357026561,-0.004758554510772228,0.17227346717308736
border_zoom,-0.267696738243103,-0.17525773195876282,-0.11191893368959427,0.42674986435160067
upper_region,-0.14838752150535583,-0.05236028214867061,-0.06581521779298782,0.3534997287032013
lower_region,-0.12315048277378082,-0.05480195333695059,-0.05738000199198723,0.3602821486706457
left_region,-0.10296576470136642,-0.020618556701030855,-0.04489883407950401,0.2908301682040152
right_region,-0.1389918178319931,-0.03228431904503526,-0.05924271047115326,0.3141616928920239
high_frequency_texture,-0.8518416881561279,-0.5870862723819859,-0.39318859577178955,0.8974498100922409
color_suppressed,-0.08132600039243698,-0.033369506239826374,-0.032426867634058,0.2135105805751492
artifact_suppressed,-0.15684902667999268,-0.0908844275637547,-0.05952931568026543,0.30683667932718395
