action,mean_entropy_global,mean_entropy_action,mean_confidence_global,mean_confidence_action,delta_entropy_H_a_minus_H0,entropy_reduction_H0_minus_H_a,delta_confidence,corr_H_and_C_within_action
global_view,0.9595879316329956,0.9595879316329956,0.6679549217224121,0.6679549217224121,0.0,0.0,0.0,-0.9598453854798814
center_zoom,0.9595879316329956,0.9753538370132446,0.6679549217224121,0.6631964445114136,0.01576596312224865,-0.01576596312224865,-0.004758554510772228,-0.960324838603814
border_zoom,0.9595879316329956,1.2272846698760986,0.6679549217224121,0.5560360550880432,0.267696738243103,-0.267696738243103,-0.11191893368959427,-0.9573286895255868
upper_region,0.9595879316329956,1.1079753637313843,0.6679549217224121,0.6021397709846497,0.14838752150535583,-0.14838752150535583,-0.06581521779298782,-0.9528747444198838
lower_region,0.9595879316329956,1.0827383995056152,0.6679549217224121,0.6105749607086182,0.12315048277378082,-0.12315048277378082,-0.05738000199198723,-0.9517092045666027
left_region,0.9595879316329956,1.0625536441802979,0.6679549217224121,0.623056173324585,0.10296576470136642,-0.10296576470136642,-0.04489883407950401,-0.9579706519800121
right_region,0.9595879316329956,1.0985796451568604,0.6679549217224121,0.6087122559547424,0.1389918178319931,-0.1389918178319931,-0.05924271047115326,-0.9572733172572218
high_frequency_texture,0.9595879316329956,1.811429500579834,0.6679549217224121,0.27476635575294495,0.8518416881561279,-0.8518416881561279,-0.39318859577178955,-0.9167458722002633
color_suppressed,0.9595879316329956,1.0409139394760132,0.6679549217224121,0.6355280876159668,0.08132600039243698,-0.08132600039243698,-0.032426867634058,-0.9509109050670673
artifact_suppressed,0.9595879316329956,1.1164369583129883,0.6679549217224121,0.6084256172180176,0.15684902667999268,-0.15684902667999268,-0.05952931568026543,-0.9531048149687282
